,sensitivity,far,tp,fp,fn,p
0.0,0.10447761194029848,33.13214285714286,49,9277,420,469
0.5,0.10660980810234544,24.025,50,6727,419,469
1.0,0.10234541577825162,15.946428571428571,48,4465,421,469
1.5,0.09594882729211085,9.607142857142858,45,2690,424,469
2.0,0.09168443496801704,5.071428571428571,43,1420,426,469
2.5,0.08528784648187637,2.382142857142857,40,667,429,469
3.0,0.05543710021321957,0.9892857142857143,26,277,443,469
3.5,0.049040511727078906,0.35714285714285715,23,100,446,469
4.0,0.02985074626865669,0.17857142857142858,14,50,455,469
4.5,0.02771855010660984,0.05,13,14,456,469
5.0,0.004264392324093813,0.02857142857142857,2,8,467,469
5.5,0.004264392324093813,0.017857142857142856,2,5,467,469
6.0,0.002132196162046962,0.007142857142857143,1,2,468,469
